Param hash,Model,Scenario,Region,Damage quantile,SLR quantile,SLR adaptation,Target,Discounting,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
ebb7934d2,MIMOSA,experiment_2.2,R5.2LAM,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00325,-0.0064,-0.00973,-0.01322,-0.01689,-0.02071,-0.02465,-0.02873,-0.03298,-0.03746,-0.04215,-0.04705,-0.05215,-0.05746,-0.06303,-0.06889
ebb7934d2,MIMOSA,experiment_2.2,R5.2MAF,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,0.00085,0.00176,0.00279,0.00396,0.00533,0.00689,0.00864,0.01058,0.01271,0.01503,0.01755,0.02024,0.02308,0.02607,0.02923,0.0325
ebb7934d2,MIMOSA,experiment_2.2,R5.2OECD,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,0.00044,0.00088,0.00133,0.00181,0.00231,0.00282,0.00334,0.00388,0.00443,0.005,0.00559,0.00621,0.00684,0.0075,0.00818,0.00888
ebb7934d2,MIMOSA,experiment_2.2,R5.2REF,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00024,0.00049,0.00074,0.001,0.00126,0.00154,0.00182,0.0021,0.0024,0.0027,0.003,0.00332,0.00364,0.00398,0.00432,0.00467
ebb7934d2,MIMOSA,experiment_2.2,RCAM,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00325,-0.0064,-0.00973,-0.01322,-0.01689,-0.02071,-0.02465,-0.02873,-0.03298,-0.03746,-0.04215,-0.04705,-0.05215,-0.05746,-0.06303,-0.06889
ebb7934d2,MIMOSA,experiment_2.2,RSAF,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,0.00218,0.00426,0.00644,0.00871,0.01107,0.01353,0.01605,0.01864,0.02133,0.02416,0.02713,0.03021,0.03342,0.03676,0.04025,0.04392
ebb7934d2,MIMOSA,experiment_2.2,RSAM,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00325,-0.0064,-0.00973,-0.01322,-0.01689,-0.02071,-0.02465,-0.02873,-0.03298,-0.03746,-0.04215,-0.04705,-0.05215,-0.05746,-0.06303,-0.06889
ebb7934d2,MIMOSA,experiment_2.2,RSAS,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00052,0.001,0.00149,0.002,0.00252,0.00304,0.00357,0.00411,0.00467,0.00524,0.00583,0.00644,0.00706,0.00771,0.00837,0.00906
ebb7934d2,MIMOSA,experiment_2.2,RUS,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00024,0.00049,0.00074,0.001,0.00126,0.00154,0.00182,0.0021,0.0024,0.0027,0.003,0.00332,0.00364,0.00398,0.00432,0.00467
ebb7934d2,MIMOSA,experiment_2.2,SAF,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00148,0.003,0.00465,0.00641,0.00831,0.01031,0.01241,0.0146,0.01691,0.01936,0.02194,0.02465,0.02749,0.03046,0.03358,0.03686
ebb7934d2,MIMOSA,experiment_2.2,SEAS,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00025,0.0006,0.00098,0.00139,0.00181,0.00225,0.00273,0.00322,0.00371,0.0042,0.00469,0.00517,0.00565,0.00613,0.00659,0.00702
ebb7934d2,MIMOSA,experiment_2.2,STAN,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00024,0.00049,0.00074,0.001,0.00126,0.00154,0.00182,0.0021,0.0024,0.0027,0.003,0.00332,0.00364,0.00398,0.00432,0.00467
ebb7934d2,MIMOSA,experiment_2.2,TUR,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,0.00039,0.00081,0.00124,0.0017,0.00217,0.00265,0.00315,0.00366,0.00419,0.00473,0.00528,0.00584,0.00641,0.00699,0.00759,0.00819
ebb7934d2,MIMOSA,experiment_2.2,UKR,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00024,0.00049,0.00074,0.001,0.00126,0.00154,0.00182,0.0021,0.0024,0.0027,0.003,0.00332,0.00364,0.00398,0.00432,0.00467
ebb7934d2,MIMOSA,experiment_2.2,USA,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,0.00062,0.00123,0.00188,0.00256,0.00327,0.00401,0.00477,0.00555,0.00637,0.00722,0.00812,0.00904,0.01,0.011,0.01204,0.01313
ebb7934d2,MIMOSA,experiment_2.2,WAF,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,0.00218,0.00426,0.00644,0.00871,0.01107,0.01353,0.01605,0.01864,0.02133,0.02416,0.02713,0.03021,0.03342,0.03676,0.04025,0.04392
ebb7934d2,MIMOSA,experiment_2.2,WEU,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00026,0.00052,0.0008,0.0011,0.00141,0.00174,0.00208,0.00243,0.0028,0.0032,0.00361,0.00404,0.0045,0.00497,0.00547,0.006
ebb7934d2,MIMOSA,experiment_2.2,World,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,-5e-05,-7e-05,-8e-05,-8e-05,-5e-05,2e-05,0.00013,0.00032,0.00058,0.00092,0.00136,0.00188,0.00251,0.00326,0.00412,0.00505
ebb7934d2,MIMOSA,experiment_2.2,BRA,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00017,0.00035,0.00053,0.00073,0.00093,0.00113,0.00134,0.00156,0.00179,0.00201,0.00225,0.00249,0.00273,0.00298,0.00323,0.00349
ebb7934d2,MIMOSA,experiment_2.2,CAN,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00026,0.00053,0.00081,0.0011,0.0014,0.00171,0.00204,0.00237,0.00271,0.00305,0.00341,0.00377,0.00414,0.00451,0.00489,0.00528
ebb7934d2,MIMOSA,experiment_2.2,CEU,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,5e-05,0.00011,0.00015,0.00019,0.00022,0.00024,0.00026,0.00027,0.00027,0.00028,0.00028,0.00028,0.00028,0.00028,0.00028,0.00028
ebb7934d2,MIMOSA,experiment_2.2,CHN,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00039,0.0008,0.00123,0.00167,0.00213,0.0026,0.00309,0.00359,0.00411,0.00463,0.00517,0.00572,0.00628,0.00685,0.00743,0.00802
ebb7934d2,MIMOSA,experiment_2.2,EAF,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00025,-0.00051,-0.00079,-0.00107,-0.00137,-0.00167,-0.00198,-0.00231,-0.00264,-0.00297,-0.00332,-0.00367,-0.00403,-0.0044,-0.00477,-0.00515
ebb7934d2,MIMOSA,experiment_2.2,INDIA,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0002,0.00041,0.00062,0.00085,0.00108,0.00132,0.00157,0.00183,0.00209,0.00235,0.00263,0.00291,0.00319,0.00348,0.00378,0.00408
ebb7934d2,MIMOSA,experiment_2.2,INDO,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00114,0.00233,0.00359,0.00488,0.00623,0.00762,0.00905,0.01051,0.01202,0.01356,0.01513,0.01673,0.01837,0.02004,0.02174,0.02347
ebb7934d2,MIMOSA,experiment_2.2,JAP,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00027,0.00056,0.00085,0.00116,0.00149,0.00182,0.00216,0.00251,0.00287,0.00323,0.00361,0.00399,0.00438,0.00478,0.00518,0.0056
ebb7934d2,MIMOSA,experiment_2.2,KOR,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00034,0.00069,0.00107,0.00145,0.00185,0.00227,0.00269,0.00313,0.00357,0.00403,0.0045,0.00498,0.00546,0.00596,0.00646,0.00698
ebb7934d2,MIMOSA,experiment_2.2,ME,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00041,0.00083,0.00128,0.00174,0.00222,0.00272,0.00323,0.00375,0.00429,0.00483,0.00539,0.00597,0.00655,0.00715,0.00775,0.00837
ebb7934d2,MIMOSA,experiment_2.2,MEX,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00017,0.00035,0.00053,0.00073,0.00093,0.00113,0.00134,0.00156,0.00179,0.00201,0.00225,0.00249,0.00273,0.00298,0.00323,0.00349
ebb7934d2,MIMOSA,experiment_2.2,NAF,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00076,0.00157,0.00241,0.00329,0.00419,0.00513,0.00609,0.00707,0.00809,0.00912,0.01018,0.01126,0.01236,0.01348,0.01463,0.01579
ebb7934d2,MIMOSA,experiment_2.2,OCE,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0003,0.00062,0.00095,0.0013,0.00166,0.00202,0.0024,0.00279,0.00319,0.0036,0.00402,0.00445,0.00488,0.00533,0.00578,0.00624
ebb7934d2,MIMOSA,experiment_2.2,R5.2ASIA,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00041,0.00085,0.00131,0.00178,0.00227,0.00277,0.00329,0.00381,0.00433,0.00486,0.0054,0.00593,0.00648,0.00702,0.00757,0.00812
ebb7934d2,MIMOSA,experiment_2.2,R5.2LAM,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00017,0.00035,0.00053,0.00073,0.00093,0.00113,0.00134,0.00156,0.00179,0.00201,0.00225,0.00249,0.00273,0.00298,0.00323,0.00349
ebb7934d2,MIMOSA,experiment_2.2,R5.2MAF,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00026,0.0005,0.00072,0.0009,0.00102,0.00108,0.00108,0.00102,0.00091,0.00075,0.00055,0.00031,5e-05,-0.00023,-0.00054,-0.00083
ebb7934d2,MIMOSA,experiment_2.2,R5.2OECD,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,9e-05,0.00019,0.0003,0.00041,0.00053,0.00064,0.00076,0.00089,0.00101,0.00114,0.00127,0.00141,0.00154,0.00168,0.00182,0.00196
ebb7934d2,MIMOSA,experiment_2.2,R5.2REF,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00012,0.00025,0.00038,0.00052,0.00066,0.00081,0.00096,0.00111,0.00127,0.00143,0.0016,0.00177,0.00194,0.00212,0.0023,0.00248
ebb7934d2,MIMOSA,experiment_2.2,RCAM,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00017,0.00035,0.00053,0.00073,0.00093,0.00113,0.00134,0.00156,0.00179,0.00201,0.00225,0.00249,0.00273,0.00298,0.00323,0.00349
ebb7934d2,MIMOSA,experiment_2.2,RSAF,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00025,-0.00051,-0.00079,-0.00107,-0.00137,-0.00167,-0.00198,-0.00231,-0.00264,-0.00297,-0.00332,-0.00367,-0.00403,-0.0044,-0.00477,-0.00515
ebb7934d2,MIMOSA,experiment_2.2,RSAM,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00017,0.00035,0.00053,0.00073,0.00093,0.00113,0.00134,0.00156,0.00179,0.00201,0.00225,0.00249,0.00273,0.00298,0.00323,0.00349
ebb7934d2,MIMOSA,experiment_2.2,RSAS,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ebb7934d2,MIMOSA,experiment_2.2,RUS,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00012,0.00025,0.00038,0.00052,0.00066,0.00081,0.00096,0.00111,0.00127,0.00143,0.0016,0.00177,0.00194,0.00212,0.0023,0.00248
ebb7934d2,MIMOSA,experiment_2.2,SAF,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00022,0.00045,0.00069,0.00094,0.0012,0.00147,0.00175,0.00203,0.00232,0.00262,0.00292,0.00323,0.00355,0.00387,0.0042,0.00453
ebb7934d2,MIMOSA,experiment_2.2,SEAS,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00114,0.00233,0.00359,0.00488,0.00623,0.00762,0.00905,0.01051,0.01202,0.01356,0.01513,0.01673,0.01837,0.02004,0.02174,0.02347
ebb7934d2,MIMOSA,experiment_2.2,STAN,5,5,with,cba,low,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00012,0.00025,0.00038,0.00052,0.00066,0.00081,0.00096,0.00111,0.00127,0.00143,0.0016,0.00177,0.00194,0.00212,0.0023,0.00248
